Academic_Success_Center 7
   183.3553722 1029.510082 0
   181.333152 1047.632286 0
   206.0442384 1049.421173 0
   200.0331333 1054.554501 0
   211.4886774 1061.221161 0
   226.0664406 1065.110046 0
   242.2886466 1066.676711 0
   260.3997396 1065.887823 0
   274.7108364 1061.11005 0
   270.7997292 1055.743389 0
   293.1219291 1057.321165 0
   295.888593 1037.732296 0
   301.4108097 1042.365624 0
   307.1330262 1042.365624 0
   313.8107973 1032.954523 0
   318.5774592 1022.765644 0
   320.0552355 1006.987882 0
   318.3774594 992.6434518 0
   311.7996882 979.9545756 0
   302.1219201 984.6767931 0
   304.2552513 965.2879236 0
   290.0885988 963.9323694 0
   282.7552728 963.1657035 0
   287.4108237 958.5323748 0
   275.3108358 952.2990477 0
   278.6108325 945.3546102 0
   303.2663634 947.6434968 0
   305.8552497 922.1435223 0
   255.2441892 917.6990823 0
   203.7664629 913.5213087 0
   200.6109105 938.5212837 0
   225.55533 941.0323923 0
   227.7331056 947.9434965 0
   212.6553429 952.3546032 0
   217.4886714 957.665709 0
   192.7886961 955.8101553 0
   190.6109205 975.1323582 0
   185.7887031 970.3434741 0
   176.110935 980.8545747 0
   171.1776066 991.2323421 0
Littlejohn_House 4
   1600.253955 1181.432152 0
   1603.109508 1189.276588 0
   1627.909483 1183.787705 0
   1625.042819 1174.376603 0
Long_Hall 9
   1548.265118 772.999227 0
   1616.131717 765.999234 0
   1609.687279 723.777054 0
   1587.909523 726.0214962 0
   1591.60952 750.2881386 0
   1567.342877 752.7881361 0
   1563.653992 728.5770492 0
   1541.831792 730.8214914 0
   1546.931786 764.2547913 0
Lowry_Hall 12
   1148.598851 470.8328625 0
   1225.032108 449.6551059 0
   1198.58769 385.110726 0
   1204.44324 383.4885054 0
   1199.165468 370.6107405 0
   1179.132154 375.5107356 0
   1184.632149 390.5218317 1
   1188.343256 389.5884993 0
   1199.376578 416.5329168 0
   1207.432126 435.9217863 0
   1172.643272 445.6995543 0
   1141.798858 454.2439902 0
Manning_Hall 8
   1842.298158 637.3660293 0
   1814.631519 637.3660293 0
   1809.864857 642.8549127 0
   1810.820411 662.4660042 0
   1817.498182 667.9548876 0
   1840.387048 667.1659995 0
   1847.06482 663.2437812 0
   1847.06482 642.0660246 0
Martin_Hall 22
   1448.376329 825.5880633 0
   1460.309651 824.2991757 0
   1471.554084 823.0880658 0
   1467.509644 797.7103134 0
   1466.609645 792.0880968 0
   1465.865201 787.3658793 0
   1465.442979 784.7325486 0
   1475.209636 783.6769941 0
   1469.365197 747.0325863 0
   1468.820753 743.6103675 0
   1473.03186 743.1548124 0
   1478.298522 742.5881463 0
   1474.654081 719.6770581 0
   1473.376304 711.6992883 1
   1461.20965 713.0103981 1
   1448.365218 714.3881745 0
   1453.620769 747.3436971 0
   1454.531879 753.0770247 0
   1445.387443 754.0659126 0
   1450.798549 788.0214342 0
   1451.742993 793.9547616 0
   1443.476334 794.8436496 0
Mauldin_Hall 4
   1703.43163 746.3436981 0
   1758.476019 746.1659205 0
   1758.376019 726.0214962 0
   1703.342741 726.1881627 0
McAdams_Hall 41
   1528.920693 511.4772663 0
   1536.542908 513.0439314 0
   1535.587353 516.1772616 0
   1544.176234 519.3217029 0
   1546.087343 516.1772616 0
   1563.253992 521.666145 0
   1561.342883 525.5883633 0
   1571.831762 527.1550284 0
   1572.787316 524.8105863 0
   1596.631737 531.0772467 0
   1604.253951 514.6105965 0
   1609.976168 516.1772616 0
   1616.653939 506.7661599 0
   1607.120615 505.1994948 0
   1615.698384 488.7328446 0
   1573.742871 474.6106365 0
   1576.598423 466.7661999 0
   1589.953966 469.1217531 0
   1598.531735 451.8662148 0
   1590.90952 449.5106616 0
   1602.353953 425.9884629 0
   1609.020613 428.3440161 0
   1618.565048 409.5218127 0
   1577.553978 396.1884927 0
   1571.831762 406.3773714 0
   1561.342883 402.4551531 0
   1560.387328 405.5995944 0
   1556.576221 404.0218182 0
   1550.854005 415.0106961 0
   1554.665112 416.5773612 0
   1552.754003 419.7106914 0
   1557.531776 421.2773565 0
   1544.176234 449.5106616 0
   1540.365126 448.7328846 0
   1538.454017 451.8662148 0
   1542.265124 453.4328799 0
   1549.89845 467.555088 0
